epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,2.5720708900027804,0.7054176463021172,6.576667785644531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,157,0,18,27
2,1,1.8404660754733615,0.5377868496709399,4.953634421030681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,51,18,27
3,1,1.3657256464163463,0.5194800247748693,4.578962988323635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
4,1,1.4714671770731609,0.5194551861948438,4.63164746761322,0.027922373032197356,0.008193661890254588,0.053427401930093765,0.002417344134300947,0.01562156714644516,0.0007657566340640188,0.019128586609989374,0.00916030534351145,1.0,0.2222222222222222,0.03753910323253389,0.017595307917888565,18,6,923,649,0,21
5,1,1.1152141855822668,0.5156081120173136,4.424667927953932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3424,7817,18,27
6,1,1.1916259162955813,0.5221462448438009,4.5119098160001965,0.01009011542191729,0.0011758916545659304,0.018353555351495743,0.0018266754923388362,0.0019034176308196037,0.00044836567831225694,0.0061162079510703364,0.0037562604340567614,0.6666666666666666,0.3333333333333333,0.01212121212121212,0.007428807263722658,12,9,1950,2387,6,18
7,1,1.4910677704546187,0.5389814939763811,4.787895096672906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
8,1,1.477417873011695,0.5254402309656143,4.679510725869073,0.00016989465802907944,5.5215763859450816e-05,0.0,0.0003397893160581589,0.0,0.00011043152771890163,0.0,0.004395604395604396,0.0,0.07407407407407407,0.0,0.008298755186721992,0,2,23,453,18,25
9,1,1.0587456226348877,0.5346599751048617,4.539322667651707,0.09929009526968002,0.03360061495914124,0.19858019053936005,0.0,0.06720122991828248,0.0,0.028862478777589132,0.0,0.9444444444444444,0.0,0.056013179571663914,0.0,17,0,572,0,1,27
10,1,1.282602419455846,0.5397126293844647,4.6891458829243975,0.00010228138125967234,2.0014789333799855e-05,0.0,0.0002045627625193447,0.0,4.002957866759971e-05,0.0,5.618082735631753e-05,0.0,0.1111111111111111,0.0,0.00011230487028787482,0,3,4718,53396,18,24
11,1,1.2262708644072216,0.5202552129824957,4.5150496164957685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
