epoch,phase,cls_loss,box_loss,total_loss,kd_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,3.8239328066507974,1.0707223614056904,12.269139925638834,2.32675568262736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
2,1,2.08094729979833,1.0692072709401448,11.009743213653564,1.950214922428131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
3,1,1.4549354314804077,1.0643442670504253,10.44795560836792,1.7379058798154194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
4,1,1.438836654027303,1.068987210591634,10.258914947509766,1.5220922430356343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
5,1,1.1359815299510956,1.06609179576238,9.925826708475748,1.3621472318967183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,166,663,9,32
6,1,1.2148291369279225,0.9307390252749125,8.884308338165283,1.2963510553042095,0.0024187120143324137,0.0007317651790799573,0.0,0.004837424028664827,0.0,0.0014635303581599147,0.0,0.0013113034356150013,0.0,0.15625,0.0,0.002600780234070221,0,5,80,3808,9,27
7,1,1.1295259296894073,0.7439081370830536,7.448222239812215,1.3041482369105022,0.0052083334885537624,0.0005208333488553763,0.0,0.010416666977107525,0.0,0.0010416666977107526,0.0,0.00024102193299590263,0.0,0.03125,0.0,0.0004783544606553456,0,1,92,4148,9,31
8,1,1.3596690098444622,0.5821099380652109,6.303273757298787,1.2576147715250652,0.00016108246927615255,3.624355558713432e-05,0.0,0.0003221649385523051,0.0,7.248711117426864e-05,0.0,0.002677376171352075,0.0,0.0625,0.0,0.005134788189987163,0,2,82,745,9,30
9,1,1.156478265921275,0.5458303143580755,5.865307251612346,1.1933408379554749,0.01123595517128706,0.0014930355682736263,0.02247191034257412,0.0,0.0029860711365472525,0.0,0.01818181818181818,0.0,0.6666666666666666,0.0,0.035398230088495575,0.0,6,0,324,114,3,32
10,1,1.2112329701582591,0.5472765664259592,5.85211197535197,1.1419211030006409,0.0006313131307251751,6.313131307251751e-05,0.0012626262614503503,0.0,0.00012626262614503502,0.0,0.01020408163265306,0.0,0.1111111111111111,0.0,0.018691588785046728,0.0,1,0,97,139,8,32
11,1,1.2778230210145314,0.5631736218929291,5.971571683883667,1.1088581085205078,0.012686284142546356,0.0013107781356666236,0.02222222276031971,0.0031503455247730017,0.002222222276031971,0.00039933399530127643,0.017391304347826087,0.011019283746556474,0.2222222222222222,0.125,0.03225806451612903,0.020253164556962026,2,4,113,359,7,28
12,1,1.3183623751004536,0.5441984236240387,5.7809412479400635,1.0402716795603435,0.004629629664123058,0.00046296296641230584,0.009259259328246117,0.0,0.0009259259328246117,0.0,0.0625,0.0,0.1111111111111111,0.0,0.08,0.0,1,0,15,9,8,32
13,1,1.3545082608858745,0.5993717511494955,6.170143524805705,0.9976012607415518,0.12560539320111275,0.048990400103502904,0.1875,0.0637107864022255,0.08148259073495864,0.016498209472047165,0.021176470588235293,0.015717092337917484,1.0,0.25,0.04147465437788018,0.029574861367837338,9,8,416,501,0,24
14,1,1.3644915223121643,0.564895749092102,5.888065417607625,0.969101478656133,0.0014111865311861038,0.0003159666812280193,0.0,0.0028223730623722076,0.0,0.0006319333624560386,0.0,0.013215859030837005,0.0,0.09375,0.0,0.023166023166023165,0,3,0,224,9,29
15,1,1.1955658892790477,0.5607454180717468,5.730099678039551,0.9267260332902273,0.006061401451006532,0.0006713960363413207,0.01111111231148243,0.001011690590530634,0.001111111231148243,0.00023168084153439849,0.01079136690647482,0.00646551724137931,0.3333333333333333,0.09375,0.020905923344947737,0.012096774193548387,3,3,275,461,6,29
16,1,1.261699378490448,0.5457612176736196,5.627768437067668,0.9037095606327057,0.0001594387722434476,1.594387722434476e-05,0.0,0.0003188775444868952,0.0,3.188775444868952e-05,0.0,0.0070921985815602835,0.0,0.03125,0.0,0.011560693641618498,0,1,1,140,9,31
17,1,1.2053008377552032,0.4957738866408666,5.156321843465169,0.8353672027587891,0.004848710494115949,0.0007657490408746525,0.0063492064364254475,0.00334821455180645,0.0006349206436425447,0.0008965774381067604,0.014925373134328358,0.011583011583011582,0.2222222222222222,0.09375,0.027972027972027972,0.020618556701030927,2,3,132,256,7,29
18,1,1.1877147555351257,0.5226736466089884,5.325784921646118,0.8118753433227539,0.010608983226120472,0.0014193212613463403,0.020729685202240944,0.00048828125,0.0027898143976926803,4.8828125e-05,0.0176678445229682,0.008620689655172414,0.5555555555555556,0.03125,0.03424657534246575,0.013513513513513513,5,1,278,115,4,31
19,1,1.0747454464435577,0.5179058611392975,5.196620225906372,0.7749534249305725,0.05013741087168455,0.006564483908005059,0.08376068621873856,0.016514135524630547,0.009059829311445356,0.004069138504564762,0.0625,0.011764705882352941,0.7777777777777778,0.25,0.11570247933884298,0.02247191011235955,7,8,105,672,2,24
20,1,1.0871232151985168,0.5179057419300079,5.184792836507161,0.75693811972936,0.002723543904721737,0.000554977121646516,0.0,0.005447087809443474,0.0,0.001109954243293032,0.0,0.005454545454545455,0.0,0.09375,0.0,0.010309278350515464,0,3,0,547,9,29
21,1,1.0485286017258961,0.509427492817243,5.0758445262908936,0.7308740516503652,0.42770545301027596,0.10214518889551982,0.8511110544204712,0.0042998516000807285,0.2038037318736315,0.0004866459174081683,0.07627118644067797,0.009900990099009901,1.0,0.15625,0.14173228346456693,0.0186219739292365,9,5,109,500,0,27
22,1,1.0373451113700867,0.5449122190475464,5.311455011367798,0.7059407830238342,0.2544181742705405,0.046668471321754626,0.49707600474357605,0.011760343797504902,0.0909897597739473,0.002347182869561948,0.140625,0.021220159151193633,1.0,0.25,0.2465753424657534,0.039119804400977995,9,8,55,369,0,24
23,1,1.0967851678530376,0.5438456883033117,5.3306831518809,0.7034479379653931,0.0006035052938386798,0.00010664682486094534,0.0,0.0012070105876773596,0.0,0.0002132936497218907,0.0,0.005681818181818182,0.0,0.0625,0.0,0.010416666666666668,0,2,24,350,9,30
24,1,1.1785046458244324,0.5628915031750997,5.477016051610311,0.6660773754119873,0.24628588557243347,0.09163972152455244,0.46830064058303833,0.024271130561828613,0.18053376786410807,0.0027456751849967986,0.34615384615384615,0.007285974499089253,1.0,0.125,0.5142857142857142,0.013769363166953529,9,4,17,545,0,28
25,1,1.0964040060838063,0.5088876187801361,5.018848260243733,0.6539892355600992,0.12452897382900119,0.022325064620235934,0.24444442987442017,0.0046135177835822105,0.04388199392706156,0.0007681353134103119,0.0703125,0.008,1.0,0.15625,0.13138686131386862,0.015220700152207,9,5,119,620,0,27
26,1,1.116285612185796,0.5067634036143621,5.005779027938843,0.6469106475512186,0.1320486729964614,0.024461853422690184,0.23684212565422058,0.027255220338702202,0.04263563258573413,0.006288074259646237,0.026785714285714284,0.007444168734491315,1.0,0.1875,0.052173913043478265,0.014319809069212411,9,6,327,800,0,26
27,1,1.0835762917995453,0.5467221438884735,5.279504378636678,0.6373002727826437,0.5039011917542666,0.11432112043439702,0.9999999403953552,0.007802443113178015,0.22785402461886406,0.0007882162499299739,0.030405405405405407,0.01256281407035176,1.0,0.15625,0.05901639344262295,0.023255813953488375,9,5,287,393,0,27
28,1,1.0936050911744435,0.5299744804700216,5.149090766906738,0.6274795830249786,0.2669834718690254,0.0987695675881696,0.5328975915908813,0.0010693521471694112,0.19740739837288857,0.00013173680345062165,0.08823529411764706,0.009202453987730062,1.0,0.09375,0.1621621621621622,0.01675977653631285,9,3,93,323,0,29
29,1,1.196379005908966,0.5322428395350774,5.2094331582387285,0.6194224456946055,0.13365955837070942,0.034825101029127836,0.23076921701431274,0.036549899727106094,0.061400757916271684,0.008249444141983985,0.12857142857142856,0.024930747922437674,1.0,0.28125,0.22784810126582278,0.04580152671755726,9,9,61,352,0,23
30,1,1.0850327908992767,0.5012790709733963,4.9053276379903155,0.6032182077566782,0.09057598933577538,0.014682347018970176,0.14512470364570618,0.036027275025844574,0.020459182956255973,0.008905511081684381,0.10256410256410256,0.01809954751131222,0.8888888888888888,0.25,0.1839080459770115,0.03375527426160338,8,8,70,434,1,24
31,1,0.92780601978302,0.472504124045372,4.611286083857219,0.6036021709442139,0.29524602461606264,0.07499332829611376,0.5698273181915283,0.020664731040596962,0.14662839332595468,0.003358263266272843,0.12857142857142856,0.014893617021276596,1.0,0.21875,0.22784810126582278,0.027888446215139445,9,7,61,463,0,25
32,1,1.0117560227711995,0.5018202463785807,4.863152265548706,0.5936223765214285,0.25066879735095426,0.0534938704862725,0.5,0.0013375947019085288,0.10685398150235415,0.0001337594701908529,0.059602649006622516,0.005813953488372093,1.0,0.0625,0.11249999999999999,0.010638297872340425,9,2,142,342,0,30
33,1,1.0066968301932018,0.50620270272096,4.879787524541219,0.5799187024434408,0.32881260477006435,0.10374939769972116,0.6111111640930176,0.04651404544711113,0.1964662481099367,0.0110325472895056,0.0891089108910891,0.024464831804281346,1.0,0.25,0.1636363636363636,0.04456824512534819,9,8,92,319,0,24
34,1,1.1294196248054504,0.5148200889428457,5.0078152020772295,0.5819547772407532,0.5055998945608735,0.1921334122445842,0.9999999403953552,0.011199848726391792,0.3817901074886322,0.002476717000536155,0.20930232558139536,0.025069637883008356,1.0,0.28125,0.3461538461538462,0.04603580562659847,9,9,34,350,0,23
35,1,1.0376640458901722,0.5167247106631597,4.97258448600769,0.5783172448476156,0.02781715616583824,0.0058865305909421295,0.0,0.05563431233167648,0.0,0.011773061181884259,0.0,0.019830028328611898,0.0,0.4375,0.0,0.037940379403794036,0,14,0,692,9,18
36,1,1.0220215221246083,0.5048687954743704,4.870697180430095,0.5731705029805502,0.5198333077132702,0.2723097089328803,0.9999999403953552,0.03966667503118515,0.5395061440765858,0.005113273789174855,0.07964601769911504,0.020887728459530026,1.0,0.25,0.1475409836065574,0.03855421686746988,9,8,104,375,0,24
37,1,0.9933793246746063,0.4610905448595683,4.524328072865804,0.5694594085216522,0.5079562067985535,0.18983755263107013,0.9999999403953552,0.01591247320175171,0.3779461085796356,0.0017289966825046576,0.06382978723404255,0.013404825737265416,1.0,0.15625,0.12,0.024691358024691357,9,5,132,368,0,27
38,1,1.109977126121521,0.5299811561902364,5.088411251703898,0.5585639973481497,0.5067223277874291,0.15307828093937131,0.9999999403953552,0.013444715179502964,0.30411815652623775,0.0020384053525049238,0.06569343065693431,0.013192612137203167,1.0,0.15625,0.12328767123287672,0.024330900243309004,9,5,128,374,0,27
39,1,0.9531093537807465,0.4821922878424327,4.650067090988159,0.557070235411326,0.5194190740585327,0.1610113271512091,0.9999999403953552,0.038838207721710205,0.3138563871383667,0.008166267164051532,0.09782608695652174,0.01727447216890595,1.0,0.28125,0.17821782178217824,0.0325497287522604,9,9,83,512,0,23
40,1,1.0350773831208546,0.502239520351092,4.844018936157227,0.5596839586893717,0.024083777330815792,0.0030780788365518674,0.02777777798473835,0.020389776676893234,0.002777777798473835,0.0033783798746298997,0.0136986301369863,0.02122641509433962,0.1111111111111111,0.28125,0.024390243902439025,0.03947368421052631,1,9,72,415,8,23
41,1,1.0331602692604065,0.5085914929707845,4.883605321248372,0.5525892078876495,0.5136155467480421,0.2661167861195281,0.9999999403953552,0.02723115310072899,0.5265431836247444,0.005690388614311814,0.1,0.016203703703703703,1.0,0.21875,0.18181818181818182,0.030172413793103446,9,7,81,425,0,25
42,1,0.8663814465204874,0.47029560307661694,4.511090993881226,0.5506831109523773,0.2049264144152403,0.08955847682082094,0.3913043439388275,0.01854848489165306,0.1767425812780857,0.0023743723635561765,0.07627118644067797,0.014388489208633094,1.0,0.1875,0.14173228346456693,0.026726057906458798,9,6,109,411,0,26
43,1,0.9527900119622549,0.46841156979401904,4.537333091100057,0.5478512843449911,0.5095340153202415,0.12133488630643115,0.9999999403953552,0.019068090245127678,0.23845354327932,0.004216229333542288,0.0782608695652174,0.01485148514851485,1.0,0.1875,0.14516129032258066,0.027522935779816512,9,6,106,398,0,26
44,1,1.08170082171758,0.49703367054462433,4.817783912022908,0.5491808950901031,0.5101403379812837,0.12981834622914903,0.9999999403953552,0.020280735567212105,0.2554453554563224,0.004191337001975626,0.07377049180327869,0.019230769230769232,1.0,0.25,0.13740458015267176,0.03571428571428572,9,8,113,408,0,24
45,1,1.0769734978675842,0.5049845278263092,4.875106334686279,0.549235612154007,0.5104667134582996,0.1759208463889081,0.9999999403953552,0.02093348652124405,0.3472727079875767,0.004568984790239483,0.07894736842105263,0.017766497461928935,1.0,0.21875,0.14634146341463414,0.03286384976525822,9,7,105,387,0,25
46,1,0.9969049791495005,0.46333911021550495,4.523012161254883,0.5495163202285767,0.5098890280351043,0.1259422953124158,0.9999999403953552,0.019778115674853325,0.24708994030952453,0.004794650315307081,0.07258064516129033,0.017632241813602016,1.0,0.21875,0.13533834586466167,0.03263403263403264,9,7,115,390,0,25
47,1,1.0045199791590373,0.48305341601371765,4.668782869974772,0.5436221957206726,0.5094503220170736,0.14140520822256802,0.9999999403953552,0.018900703638792038,0.278619020152837,0.004191396292299032,0.06976744186046512,0.014925373134328358,1.0,0.1875,0.13043478260869565,0.027649769585253458,9,6,120,396,0,26
48,1,1.0097196102142334,0.48467403650283813,4.693932215372722,0.5540171265602112,0.5101857511326671,0.16101478268392383,0.9999999403953552,0.020371561869978905,0.31793364211916925,0.0040959232486784455,0.06870229007633588,0.014778325123152709,1.0,0.1875,0.1285714285714286,0.0273972602739726,9,6,122,400,0,26
49,1,1.064674864212672,0.47184978425502777,4.610297441482544,0.5390865107377371,0.5093178059905767,0.20525948783615605,0.9999999403953552,0.018635671585798264,0.40663578286767005,0.0038831928046420216,0.072,0.015151515151515152,1.0,0.1875,0.1343283582089552,0.028037383177570097,9,6,116,390,0,26
50,1,0.9095834791660309,0.4571870317061742,4.435014526049296,0.5513202746709188,0.5106147844344378,0.24725480681518092,0.9999999403953552,0.02122962847352028,0.4904320724308491,0.00407754119951278,0.07377049180327869,0.017721518987341773,1.0,0.21875,0.13740458015267176,0.03278688524590164,9,7,113,388,0,25
