epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,9.534244855244955,0.8921835124492645,11.45849895477295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74,0,9,32
2,1,2.621584971745809,0.6244692703088125,5.994312127431233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,485,4,9,32
3,1,2.0932083129882812,0.5765881538391113,5.371015389760335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,802,9,32
4,1,1.8506659666697185,0.5552614430586497,5.089793761571248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,779,172,9,32
5,1,1.8364961942036946,0.555226743221283,5.082448561986287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,681,9,32
6,1,1.9613113005956013,0.6085486114025116,5.544770240783691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,46,764,9,32
7,1,1.7975038290023804,0.5897535234689713,5.321903308232625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,82,34,9,32
8,1,1.966068943341573,0.587820420662562,5.391687631607056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,325,1461,9,32
9,1,1.902539074420929,0.5997175176938375,5.4491508801778155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2239,9,32
10,1,1.5725098252296448,0.574228415886561,5.092968146006267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,151,3359,9,32
11,1,1.6352601250012715,0.5682056446870168,5.079172293345134,0.0033167495857924223,0.0004145936982240528,0.006633499171584845,0.0,0.0008291873964481056,0.0,0.02857142857142857,0.0,0.2222222222222222,0.0,0.050632911392405056,0.0,2,0,68,57,7,32
12,1,1.479145089785258,0.5452657490968704,4.829065640767415,0.024104470387101173,0.006131528163678013,0.019376322627067566,0.02883261814713478,0.005176046473206952,0.0070870098541490735,0.010568031704095112,0.008840864440078585,0.8888888888888888,0.28125,0.020887728459530026,0.017142857142857144,8,9,749,1009,1,23
13,1,1.379177987575531,0.5645678589741389,4.923847993214925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2304,0,9,32
14,1,1.4597532749176025,0.5477224290370941,4.837794780731201,0.25694445916451514,0.09773553386912681,0.5079365372657776,0.0059523810632526875,0.19427486807107924,0.0011961996671743691,0.2857142857142857,0.043478260869565216,0.8888888888888888,0.0625,0.43243243243243246,0.05128205128205128,8,2,20,44,1,30
15,1,1.6660225788752239,0.555684894323349,5.000647862752278,0.086181171820499,0.012890856130979955,0.16981132328510284,0.0025510203558951616,0.025526610226370393,0.00025510203558951614,0.13846153846153847,0.03773584905660377,1.0,0.0625,0.24324324324324326,0.047058823529411764,9,2,56,51,0,30
16,1,1.2851418852806091,0.5927222867806753,5.087988058725993,0.0007440476329065859,9.300595411332324e-05,0.0,0.0014880952658131719,0.0,0.00018601190822664648,0.0,0.007326007326007326,0.0,0.0625,0.0,0.013114754098360656,0,2,38,271,9,30
17,1,1.6720747550328572,0.5635343392690023,5.0625449021657305,0.125,0.046604938432574274,0.25,0.0,0.09320987686514855,0.0,0.03308823529411765,0.0,1.0,0.0,0.06405693950177935,0.0,9,0,263,5,0,32
18,1,1.482369840145111,0.5602515737215678,4.943071603775024,0.08022635709494352,0.015538765140809119,0.15458938479423523,0.005863329395651817,0.030380469001829623,0.0006970612797886133,0.10810810810810811,0.01968503937007874,0.8888888888888888,0.15625,0.1927710843373494,0.03496503496503496,8,5,66,249,1,27
19,1,1.2173057397206624,0.5468809902667999,4.710260391235352,0.3556709438562393,0.13264026070246474,0.6810185313224792,0.03032335638999939,0.2604365164414048,0.004844004963524639,0.28125,0.00980392156862745,1.0,0.28125,0.43902439024390244,0.01894736842105263,9,9,23,909,0,23
20,1,1.4933971961339314,0.5772660473982493,5.076193968454997,0.1875,0.05990622155368328,0.375,0.0,0.11981244310736656,0.0,0.0989010989010989,0.0,1.0,0.0,0.17999999999999997,0.0,9,0,82,0,0,32
21,1,1.4066183964411418,0.5610323051611582,4.911051432291667,0.0013254261575639248,0.00018647350298124367,0.0,0.0026508523151278496,0.0,0.00037294700596248733,0.0,0.002702702702702703,0.0,0.15625,0.0,0.005313496280552604,0,5,47,1845,9,27
22,1,1.3873143990834553,0.559141993522644,4.8872222900390625,0.10918209701776505,0.038662235555239025,0.2183641940355301,0.0,0.07732447111047805,0.0,0.0891089108910891,0.0,1.0,0.0,0.1636363636363636,0.0,9,0,92,64,0,32
23,1,1.2947092751661937,0.5605563620726267,4.851527372996013,0.1890345981810242,0.0687102661060635,0.375,0.0030691963620483875,0.13700200542807578,0.0004185267840512097,0.18,0.03278688524590164,1.0,0.0625,0.3050847457627119,0.04301075268817204,9,2,41,59,0,30
24,1,1.1778054634730022,0.5649092197418213,4.825721979141235,0.44378310441970825,0.13322751866653562,0.8875662088394165,0.0,0.26645503733307124,0.0,0.25,0.0,1.0,0.0,0.4,0.0,9,0,27,0,0,32
25,1,1.1304057637850444,0.541527102390925,4.6266560554504395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
26,1,1.1648213466008503,0.6106472412745158,5.162264982859294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
27,1,1.2913878361384075,0.5388808846473694,4.687300523122151,0.0555555559694767,0.02777777798473835,0.1111111119389534,0.0,0.0555555559694767,0.0,1.0,0.0,0.1111111111111111,0.0,0.19999999999999998,0.0,1,0,0,0,8,32
28,1,1.0248096386591594,0.5558689137299856,4.681421677271525,0.015625,0.0046875,0.0,0.03125,0.0,0.009375,0.0,0.009900990099009901,0.0,0.03125,0.0,0.015037593984962405,0,1,0,100,9,31
29,1,1.103453556696574,0.5455226500829061,4.6431465943654375,0.13903939630836248,0.028110791239305398,0.2735042870044708,0.004574505612254143,0.05540171265602112,0.0008198698225896806,0.1951219512195122,0.005819592628516004,0.8888888888888888,0.1875,0.32,0.011288805268109126,8,6,33,1025,1,26
30,1,1.1917322278022766,0.5301408469676971,4.5719224611918134,0.15701067680492997,0.042110658704768864,0.30475425720214844,0.009267096407711506,0.08180001401342452,0.002421303396113217,0.21428571428571427,0.018604651162790697,1.0,0.25,0.35294117647058826,0.03463203463203463,9,8,33,422,0,24
31,1,1.318797767162323,0.5753375093142191,4.974430322647095,0.25390625,0.09506354634650052,0.5,0.0078125,0.18856459269300102,0.0015625,0.10714285714285714,0.01639344262295082,1.0,0.03125,0.19354838709677416,0.02150537634408602,9,1,75,60,0,31
32,1,1.4161137143770854,0.537914514541626,4.742415587107341,0.00129968102555722,0.0001908946636831388,0.0,0.00259936205111444,0.0,0.0003817893273662776,0.0,0.005112474437627812,0.0,0.15625,0.0,0.009900990099009901,0,5,54,973,9,27
33,1,1.6372646689414978,0.6035912483930588,5.3455666700998945,0.003898635506629944,0.0005847953259944915,0.007797271013259888,0.0,0.001169590651988983,0.0,0.034482758620689655,0.0,0.2222222222222222,0.0,0.05970149253731343,0.0,2,0,56,10,7,32
34,1,1.418852726618449,0.5300028125445048,4.684447367986043,0.1707928515970707,0.059731300291605297,0.3320106267929077,0.009575076401233673,0.11807045117020606,0.0013921494130045176,0.02349869451697128,0.0025826446280991736,1.0,0.15625,0.04591836734693877,0.00508130081300813,9,5,374,1931,0,27
35,1,1.0354967812697093,0.5755457282066345,4.834341367085774,0.0766824227757752,0.01191834085402661,0.14714716374874115,0.0062176818028092384,0.023020175471901893,0.0008165062361513264,0.125,0.008547008547008548,0.7777777777777778,0.1875,0.2153846153846154,0.016348773841961855,7,6,49,696,2,26
36,1,1.125009427467982,0.5558515588442484,4.731391350428264,0.29476420069113374,0.12154981663188665,0.5816993713378906,0.00782903004437685,0.24124110732227563,0.0018585259414976463,0.06040268456375839,0.01937984496124031,1.0,0.15625,0.11392405063291139,0.034482758620689655,9,5,140,253,0,27
37,1,1.1326584021250408,0.5381164401769638,4.602202494939168,0.0555555559694767,0.024074074253439902,0.1111111119389534,0.0,0.048148148506879804,0.0,0.5,0.0,0.2222222222222222,0.0,0.30769230769230765,0.0,2,0,2,0,7,32
38,1,1.138619860013326,0.5620705386002859,4.784838914871216,0.07434819743502885,0.015067298349458724,0.14814814925193787,0.0005482456181198359,0.030079772137105464,5.482456181198359e-05,0.14545454545454545,0.01639344262295082,0.8888888888888888,0.03125,0.25,0.02150537634408602,8,1,47,60,1,31
39,1,1.0844901601473491,0.5303582102060318,4.519931674003601,0.1761007052846253,0.07508760696800891,0.3461538553237915,0.00604755524545908,0.14872519187629224,0.0014500220597255975,0.1836734693877551,0.021367521367521368,1.0,0.15625,0.3103448275862069,0.03759398496240602,9,5,40,229,0,27
40,1,0.9817731777826945,0.5264018426338831,4.438900391260783,0.26950589078478515,0.09432289639662486,0.5328976511955261,0.00611413037404418,0.1870832927990705,0.001562499994179234,0.17647058823529413,0.04918032786885246,1.0,0.09375,0.3,0.06451612903225806,9,3,42,58,0,29
41,1,0.9460663596789042,0.5587853093942007,4.663923025131226,0.37579343747347593,0.09167779922718182,0.7399809956550598,0.011605879291892052,0.18043328765779734,0.0029223107965663077,0.12857142857142856,0.006138735420503376,1.0,0.3125,0.22784810126582278,0.012040939193257074,9,10,61,1619,0,22
42,1,1.185701072216034,0.5615101854006449,4.804176886876424,0.17456860980018973,0.08057184049393981,0.3462963104248047,0.0028409091755747795,0.1600262566935271,0.0011174242943525314,0.23076923076923078,0.022727272727272728,1.0,0.03125,0.375,0.026315789473684213,9,1,30,43,0,31
43,1,1.0702876845995586,0.5267837544282278,4.486021995544434,0.43951141415163875,0.1938811300089583,0.8759469389915466,0.0030758893117308617,0.3869739018380642,0.0007883581798523665,0.0625,0.021052631578947368,1.0,0.0625,0.11764705882352941,0.031496062992125984,9,2,135,93,0,30
44,1,1.0841126143932343,0.5453923642635345,4.632499138514201,0.10683761537075043,0.02578347744420171,0.21367523074150085,0.0,0.05156695488840342,0.0,0.38461538461538464,0.0,0.5555555555555556,0.0,0.4545454545454546,0.0,5,0,8,30,4,32
45,2,1.125112493832906,0.5585848093032837,4.751942316691081,0.21058722375892103,0.060345996334217486,0.41774725914001465,0.003427188377827406,0.12024653637781739,0.00044545629061758517,0.15517241379310345,0.01744186046511628,1.0,0.09375,0.26865671641791045,0.02941176470588235,9,3,49,169,0,29
46,2,0.9802769819895426,0.548825333515803,4.606328407923381,0.13792614045087248,0.05116071362281218,0.27272728085517883,0.0031250000465661287,0.10200892724096774,0.0003125000046566129,0.1,0.007692307692307693,1.0,0.03125,0.18181818181818182,0.01234567901234568,9,1,81,129,0,31
47,2,0.9664537111918131,0.5368341952562332,4.509483257929484,0.24675522558391094,0.12119810456642881,0.48290595412254333,0.01060449704527855,0.24059828263707458,0.001797926495783031,0.0989010989010989,0.03508771929824561,1.0,0.1875,0.17999999999999997,0.059113300492610835,9,6,82,165,0,26
48,2,1.074819376071294,0.5604646901289622,4.740894794464111,0.24069311283528805,0.09554735806596,0.4736842215061188,0.007702004164457321,0.18888982916250824,0.002204886969411746,0.12,0.022151898734177215,1.0,0.21875,0.21428571428571425,0.040229885057471264,9,7,66,309,0,25
49,2,1.0215521852175395,0.5500411689281464,4.636084874471028,0.34067069459706545,0.1324668716173619,0.6704365015029907,0.010904887691140175,0.26180555652827026,0.0031281867064535617,0.17307692307692307,0.030837004405286344,1.0,0.21875,0.29508196721311475,0.05405405405405406,9,7,43,220,0,25
50,2,0.987397571404775,0.5475541849931082,4.60035506884257,0.23893478279933333,0.10183387242286698,0.46830064058303833,0.009568925015628338,0.20161842480301856,0.002049320042715408,0.11392405063291139,0.020833333333333332,1.0,0.21875,0.20454545454545456,0.03804347826086956,9,7,70,329,0,25
51,2,0.9787967701752981,0.5319487452507019,4.479013999303182,0.2896797498688102,0.14476742486003785,0.5704365372657776,0.008922962471842766,0.28762567723169924,0.0019091724883764983,0.13432835820895522,0.03787878787878788,1.0,0.15625,0.2368421052631579,0.06097560975609756,9,5,58,127,0,27
52,2,0.9024103283882141,0.5404084920883179,4.504268964131673,0.3393868333660066,0.14848647228791378,0.6637043952941895,0.015069271437823772,0.2931269250810146,0.0038460194948129354,0.13432835820895522,0.03888888888888889,1.0,0.21875,0.2368421052631579,0.06603773584905662,9,7,58,173,0,25
53,2,0.8103298743565878,0.5141469041506449,4.261266708374023,0.27045934088528156,0.0874164454115089,0.529411792755127,0.011506889015436172,0.17178155099973083,0.0030513398232869804,0.10112359550561797,0.021021021021021023,1.0,0.21875,0.18367346938775508,0.038356164383561646,9,7,80,326,0,25
54,2,0.9308458864688873,0.5453912317752838,4.555857181549072,0.27171627804636955,0.07994063979131169,0.529411792755127,0.014020763337612152,0.15606172801926732,0.003819551563356072,0.0989010989010989,0.022222222222222223,1.0,0.21875,0.17999999999999997,0.040345821325648415,9,7,82,308,0,25
