epoch,phase,cls_loss,box_loss,total_loss,steps_taken,oom_skipped,grad_norm_backbone_stage1,grad_norm_neck,grad_norm_backbone_stage0,nan_skipped,grad_norm_head_level0,grad_norm_head_level2,grad_norm_head_level1,grad_norm_backbone_stage2,grad_norm_backbone_stage3,grad_norm_backbone_stem,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,34.44854912757874,1.0791971635818483,25.318252983093263,7.0,0.0,0.0,120.18915965263047,0.0,0.0,418.6541909224855,0.8625070881079508,202.6253949930641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,545,70,9,32
2,1,3.312493448257446,0.9974843955039978,9.137379722595215,7.0,0.0,0.0,2.935807061513766,0.0,0.0,35.01020722998948,1.4694970417754485,1.4263315335341746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,213,0,9,32
3,1,2.300820813179016,1.038060760498047,8.935866050720215,7.0,0.0,0.0,2.8480669633887343,0.0,0.0,43.94387092939996,1.100549731867773,2.3651273713246876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,264,1224,9,32
4,1,4.060507736206055,1.016282424926758,9.65237211227417,7.0,0.0,0.0,11.387532691815698,0.0,0.0,187.89612059487462,2.716994147649341,41.06617067506126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,56,146,9,32
5,1,1.90049649477005,0.9468286252021789,8.051462898254394,7.0,0.0,0.0,2.786359026944942,0.0,0.0,25.355474151019877,4.476124353415712,27.428467831025273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,268,911,9,32
6,1,3.5829204607009886,0.9770737385749817,9.119513263702393,7.0,0.0,0.0,13.664385845976337,0.0,0.0,183.57643070040388,8.918072535445727,10.348236110963956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,43,15,9,32
7,1,1.473091299533844,0.9169477462768555,7.613653755187988,7.0,0.0,0.0,2.123346614230811,0.0,0.0,23.21038822900044,10.749313569818897,22.418399896776556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,131,56,9,32
8,1,1.3248093962669372,0.9250538730621338,7.600308856964111,7.0,0.0,0.0,2.2276982025092953,0.0,0.0,23.092079876959378,6.607890930654509,17.36546011324267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,104,273,9,32
9,1,1.5222202444076538,0.9980991435050964,8.246853637695313,7.0,0.0,0.0,2.167855696220446,0.0,0.0,12.89534782054054,1.8086077803470195,16.307203346787222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,332,9,32
10,1,1.3178440356254577,0.9931563758850097,8.107594814300537,7.0,0.0,0.0,2.220671544093876,0.0,0.0,18.023935742321154,1.9933011409761252,10.843849660510356,0.0,0.0,0.0,0.022650805505691096,0.0025684690539492295,0.04516749083995819,0.00013412017142400146,0.005123526090756059,1.3412017142400146e-05,0.010482180293501049,0.002277904328018223,0.5555555555555556,0.03125,0.0205761316872428,0.004246284501061571,5,1,472,438,4,31
