epoch,phase,cls_loss,box_loss,total_loss,kd_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,3.107591775747446,1.0710495710372925,11.86056269132174,2.273894924383897,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
2,1,1.530325596149151,1.0706286430358887,10.672390130849985,1.8775125925357525,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
3,1,1.603204594208644,1.0693403757535493,10.524456390967735,1.7028011817198534,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,478,1009,9,32
4,1,1.4057801136603723,1.0688129663467407,10.227468123802772,1.5084807597673857,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,581,1622,9,32
5,1,1.3001469098604643,1.0622725028258104,9.958381286034218,1.3412641286849976,0.0,0.0,7.0,5.521201455849223e-05,1.262228161067469e-05,0.0,0.00011042402911698446,0.0,2.524456322134938e-05,0.0,0.001658374792703151,0.0,0.0625,0.0,0.003231017770597738,0,2,1494,1204,9,30
6,1,0.9561789585993841,1.026117008465987,9.368657112121582,1.1946900807894194,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,952,1748,9,32
7,1,0.9748525848755469,0.9420730517460749,8.645911730252779,1.0929375061622033,0.0,0.0,7.0,6.056201527826488e-05,1.2112403055652976e-05,0.0,0.00012112403055652976,0.0,2.4224806111305952e-05,0.0,0.0013280212483399733,0.0,0.0625,0.0,0.002600780234070221,0,2,1143,1504,9,30
8,1,1.1578583121299744,0.9353410005569458,8.613961586585411,1.019974832351391,0.0,0.0,7.0,2.8512773496913724e-05,8.553832049074118e-06,0.0,5.702554699382745e-05,0.0,1.7107664098148236e-05,0.0,0.0013192612137203166,0.0,0.03125,0.0,0.002531645569620253,0,1,897,757,9,31
9,1,1.1020432389699495,0.8792821306448716,8.108005560361422,0.962367947284992,0.0,0.0,7.0,0.17043241118517471,0.03606753271451453,0.3406223654747009,0.0002424568956485018,0.07209734991192818,3.771551710087806e-05,0.0049261083743842365,0.002425222312045271,0.7777777777777778,0.09375,0.009790209790209791,0.0047281323877068565,7,3,1414,1234,2,29
10,1,0.9216315425359286,0.8056271626399114,7.430231827955979,0.927212302501385,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222,7,9,32
11,1,1.1360538601875305,0.7203902051999018,6.883869684659517,0.9129161238670349,0.0,0.0,7.0,0.014484127052128315,0.0033621286973357202,0.0,0.02896825410425663,0.0,0.0067242573946714405,0.0,0.011869436201780416,0.0,0.125,0.0,0.021680216802168025,0,4,96,333,9,28
