epoch,phase,cls_loss,box_loss,total_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,3.6178086812679586,1.0543847634242132,9.71679005256066,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
2,1,1.6324518598043,0.9153768603618329,7.681552373445951,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,32
3,1,1.3961789195354168,0.832953563103309,6.945241084465613,0.0,0.0,7.0,0.00042768914136104286,7.388064113911241e-05,0.0,0.0008553782827220857,0.0,0.00014776128227822483,0.0,0.005312084993359893,0.0,0.125,0.0,0.01019108280254777,0,4,677,749,9,28
4,1,1.5140354862579932,0.8247343210073618,6.942525020012488,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,923,1494,9,32
5,1,1.1772308899806097,0.787901759147644,6.497878624842717,0.0,0.0,7.0,0.000464506825665012,0.00014577088586520404,0.0,0.000929013651330024,0.0,0.00029154177173040807,0.0,0.003676470588235294,0.0,0.15625,0.0,0.007183908045977012,0,5,1340,1355,9,27
6,1,1.3780322762636037,0.785243061872629,6.578339063204252,0.0,0.0,7.0,2.8682881747954525e-05,5.0195043058920415e-06,0.0,5.736576349590905e-05,0.0,1.0039008611784083e-05,0.0,0.0009111617312072893,0.0,0.0625,0.0,0.0017961383026493043,0,2,505,2193,9,30
7,1,1.2056292249606206,0.6985133657088647,5.841664717747615,0.0,0.0,7.0,0.0005321207572706044,5.321207572706044e-05,0.0,0.0010642415145412087,0.0,0.00010642415145412087,0.0,0.009615384615384616,0.0,0.09375,0.0,0.017441860465116282,0,3,158,309,9,29
8,1,1.2375392867968633,0.6851043930420508,5.757052531609168,0.0,0.0,7.0,0.0024803512496873736,0.00035136150690959764,0.00358422938734293,0.0013764731120318174,0.00044802867341786623,0.0002546943404013291,0.004405286343612335,0.006472491909385114,0.2222222222222222,0.125,0.008639308855291577,0.012307692307692308,2,4,452,614,7,28
9,1,1.0338419996775114,0.6506905280626737,5.397100008451021,0.0,0.0,7.0,0.009543176740407944,0.0015296209501684643,0.0,0.019086353480815887,0.0,0.0030592419003369286,0.0,0.02088167053364269,0.0,0.28125,0.0,0.038876889848812095,0,9,209,422,9,23
10,1,1.0689330009313731,0.6433865015323346,5.359865151918852,0.0,0.0,7.0,0.11044291040161625,0.033570129817235284,0.2195121943950653,0.0013736264081671834,0.06693421567324549,0.0002060439612250775,0.04411764705882353,0.006369426751592357,1.0,0.0625,0.08450704225352113,0.011560693641618498,9,2,195,312,0,30
