epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage0,grad_norm_head_level0,grad_norm_backbone_stage3,grad_norm_backbone_stage2,steps_taken,grad_norm_backbone_stage1,grad_norm_backbone_stem,nan_skipped,grad_norm_neck,oom_skipped,grad_norm_head_level1,grad_norm_head_level2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,41.0422754054134,1.0178454325005815,28.154978771467466,76.65312001695985,327.2201672350494,9.845673825176126,332.80023912793337,19.0,116.65267642435515,70.82016486849511,0.0,77.83032199470726,0.0,7.138466875293622,4.612459213126363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,145,504,18,31
2,1,1.3928174593964138,0.9796873870733622,8.0440641738273,3.642911421359693,16.37205229141803,2.898761184166291,6.582462418071651,19.0,4.217359412380507,2.629286717661689,0.0,1.4472000452595388,0.0,2.6990267911403043,3.09241953919056,0.035936139523983,0.006860347617475782,0.071872279047966,0.0,0.013720695234951563,0.0,0.013966480446927373,0.0,0.5555555555555556,0.0,0.02724795640326975,0.0,10,0,706,1562,8,31
3,1,1.144352297525148,0.9325200480383795,7.566076529992594,5.532891655600437,8.431061215525572,9.302345792753659,11.901072047506755,19.0,6.3143103732691195,3.7959080754547334,0.0,2.8123515823235223,0.0,4.474406675569077,20.187087425428196,0.014200587756931782,0.0019444825244136154,0.028401175513863564,0.0,0.0038889650488272308,0.0,0.02727272727272727,0.0,0.6666666666666666,0.0,0.052401746724890834,0.0,12,0,428,1630,6,31
4,1,1.0850702814153723,0.9119302606260454,7.382012115942465,4.08381547010084,10.041957558726859,7.478797113906589,9.362303553347322,19.0,5.1961421748717695,2.7495801608259542,0.0,2.3680605484279758,0.0,2.080159582281529,20.11551572317043,0.055609818547964096,0.014864247711375355,0.11121963709592819,0.0,0.02972849542275071,0.0,0.013490725126475547,0.0,0.4444444444444444,0.0,0.02618657937806874,0.0,8,0,585,1582,10,31
5,1,1.0799574376763523,0.8814195942234349,7.150625699275249,5.52762712992343,14.546593648633422,10.27797659400509,14.199137103393303,19.0,7.087955498405403,3.640940513122975,0.0,3.7411300385962747,0.0,3.606250385724734,24.205383946247366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,223,7,18,31
6,1,1.5993217660768613,0.9681080209242331,8.060471019229373,3.9743114795801504,29.046770657796706,4.535994770243213,10.351761080665977,19.0,5.027130154997087,2.4555481493912183,0.0,3.731670255277641,0.0,2.7217932897865924,13.330313558096233,0.07579365372657776,0.020079365558922292,0.15158730745315552,0.0,0.040158731117844584,0.0,0.03614457831325301,0.0,0.3333333333333333,0.0,0.06521739130434782,0.0,6,0,160,232,12,31
7,1,1.0455784845996547,0.8803744130843395,7.1255973609718115,3.443622923958681,12.149042301530514,5.613288627723104,9.176899822397571,19.0,4.508965920322434,2.0634822185466892,0.0,2.210330947307222,0.0,3.226144905852262,18.148786910094678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1880,1206,18,31
8,1,0.8737043738365173,0.8616223657453382,6.899019937257509,3.7596954761245795,5.771911675514568,9.111014613394326,10.390788451874485,19.0,4.674175287469204,1.882451005715049,0.0,3.08014362308199,0.0,3.643298890042533,30.21855182637463,0.07797117531299591,0.009704581380356103,0.15594235062599182,0.0,0.019409162760712206,0.0,0.03146853146853147,0.0,0.5,0.0,0.05921052631578948,0.0,9,0,277,560,9,31
9,1,0.8916551889599981,0.8003287283149926,6.4482930673135295,3.8540452679153203,7.837603921447642,9.338761550809126,12.089348875655467,19.0,4.594962676224771,2.015426340230031,0.0,3.6315070769022615,0.0,2.0944750158901018,42.373648549260444,0.397096186876297,0.17305460335919634,0.794192373752594,0.0,0.3461092067183927,0.0,0.14285714285714285,0.0,1.0,0.0,0.25,0.0,18,0,108,1050,0,31
10,1,0.8064635746382378,0.77632673688837,6.2256823165996655,3.4546762121547205,6.673809021804817,8.030198264086291,10.28772012342847,19.0,4.2056358552088655,1.823546286983843,0.0,2.7806411800676,0.0,2.5313193251510557,55.355166833407516,0.2279847413301468,0.05129637430654839,0.4559694826602936,0.0,0.10259274861309678,0.0,0.16822429906542055,0.0,1.0,0.0,0.288,0.0,18,0,89,979,0,31
11,1,0.891519416022945,0.7795254938505791,6.292200939075367,4.212256564024107,12.62411768678303,8.994905380406744,13.041526754307997,19.0,5.124082308420773,1.8664659879007035,0.0,3.6911068595012644,0.0,3.114653366632145,65.69682322837137,0.3767343759536743,0.1212340417318046,0.7534687519073486,0.0,0.2424680834636092,0.0,0.30357142857142855,0.0,0.9444444444444444,0.0,0.45945945945945943,0.0,17,0,39,993,1,31
12,1,0.8942219474025674,0.800557064043509,6.451288919191103,4.168177160389922,9.592024627480727,9.441629291305052,13.978203765979398,19.0,5.297605572669817,1.9288310156765525,0.0,4.032639731108104,0.0,2.510087599169477,50.52238759953977,0.13456350564956665,0.017920636455528438,0.2691270112991333,0.0,0.035841272911056876,0.0,0.07575757575757576,0.0,0.5555555555555556,0.0,0.13333333333333333,0.0,10,0,122,1937,8,31
13,1,0.8708223720660081,0.7795953992250804,6.282376688879889,3.6801017647476773,9.330920207598222,10.571954169883753,13.68285204249733,19.0,5.157847163664094,1.7753106085929633,0.0,3.7934291525737134,0.0,2.2070570551166435,53.420678161615,0.5,0.1894616155535914,1.0,0.0,0.3789232311071828,0.0,0.17647058823529413,0.0,1.0,0.0,0.3,0.0,18,0,84,1105,0,31
14,1,0.8410522897501249,0.7497294827087505,6.043497256330542,4.404904900927718,11.132603858287942,13.994974011061016,16.728278064544497,19.0,6.149080178700503,2.257033672809425,0.0,5.047274892865419,0.0,1.8051170706350295,69.97307441095877,0.1405530571937561,0.045588111807592216,0.2811061143875122,0.0,0.09117622361518443,0.0,0.0410958904109589,0.0,1.0,0.0,0.07894736842105263,0.0,18,0,420,1435,0,31
15,1,0.9277854827610222,0.7241302966266066,5.894869959032214,3.6495092192568577,10.423931684946655,10.453128593103221,12.215476663939018,19.0,4.805528322640539,1.9658655008748263,0.0,3.93277403488776,0.0,3.0939612309792364,52.42261388307909,0.18996742367744446,0.05304232570342719,0.3799348473548889,0.0,0.10608465140685439,0.0,0.3902439024390244,0.0,0.8888888888888888,0.0,0.5423728813559323,0.0,16,0,25,592,2,31
