epoch,phase,cls_loss,box_loss,total_loss,grad_norm_head_level2,grad_norm_neck,steps_taken,grad_norm_backbone_stem,grad_norm_backbone_stage0,grad_norm_head_level1,grad_norm_head_level3,grad_norm_backbone_stage3,oom_skipped,grad_norm_backbone_stage2,grad_norm_backbone_stage1,grad_norm_head_level0,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,181.09215355563808,1.0242256763819102,98.22776902688516,36.82324430032186,401.29310629925016,19.0,551.7401449365424,606.1000567157038,567.9870596241913,2.7869129901532106,43.848366044407705,0.0,1714.7574889961434,604.5861023173139,1227.9903209314302,0.0,0.11944444477558136,0.021111111529171465,0.23888888955116272,0.0,0.04222222305834293,0.0,0.052083333333333336,0.0,0.2777777777777778,0.0,0.08771929824561404,0.0,5,0,91,163,13,31
2,1,1.7275526177238774,0.9388243169397921,7.9049586734256225,2.670909798247149,2.368269889589655,19.0,2.6315787636372447,4.535955144693648,15.869972116860085,9.360941885614665,5.975098002127697,0.0,9.865669542236907,5.1072927376751425,7.72375517238612,0.0,0.15568627417087555,0.03470900473184883,0.3113725483417511,0.0,0.06941800946369767,0.0,0.009174311926605505,0.0,0.7222222222222222,0.0,0.018118466898954702,0.0,13,0,1404,3044,5,31
3,1,1.329152749196903,0.8817379837100571,7.277611255645752,2.762898141553489,3.6868256123212153,19.0,3.806199120832671,6.506605701231739,11.382397127321628,22.41497453623557,9.950338481673644,0.0,15.73100132729903,7.894949338208067,9.562241032902934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,106,327,18,31
4,1,1.2758057661153175,0.8801820245948998,7.2392680709426465,1.5646837720735505,3.721194794345766,19.0,2.815256768557726,5.31667745641953,7.976751497807883,28.35742679733407,13.247344401835631,0.0,15.494520566038638,6.207310996321931,8.87701985554627,0.0,0.05633903294801712,0.011490735498955473,0.11267806589603424,0.0,0.022981470997910945,0.0,0.028037383177570093,0.0,0.6666666666666666,0.0,0.05381165919282511,0.0,12,0,416,1673,6,31
5,1,1.5047826162866644,0.8529083543532604,7.149203919075631,2.7148950613417595,3.2892992820285167,19.0,2.624993920447291,5.0450778207318105,15.95466851955385,30.725168692591218,9.401716367018993,0.0,10.566866993698019,6.41348658019475,6.753975869492243,0.0,0.19035577774047852,0.04410732752876356,0.38071155548095703,0.0,0.08821465505752712,0.0,0.1111111111111111,0.0,1.0,0.0,0.19999999999999998,0.0,18,0,144,0,0,31
6,1,1.5227530236179765,0.815048807778874,6.874242569949176,4.097408281764051,4.89448943445561,19.0,3.4532370418254152,5.8320882169665165,9.98998692087291,42.40044327817106,10.571748083495443,0.0,14.701123918622127,7.171226857802912,15.710584384783743,0.0,0.03187110647559166,0.010417671165487263,0.06374221295118332,0.0,0.020835342330974525,0.0,0.036734693877551024,0.0,1.0,0.0,0.07086614173228348,0.0,18,0,472,3635,0,31
7,1,1.4893059617764242,0.7770509381552,6.572534983222549,1.9241091624641253,5.397579538992548,19.0,3.24510929040714,5.857840236647264,9.177252532400036,51.97201228407605,12.027332143226477,0.0,16.76942841256965,5.853319401528368,15.9141706870684,0.0,0.4805082082748413,0.25924257598817346,0.9610164165496826,0.0,0.5184851519763469,0.0,0.05099150141643059,0.0,1.0,0.0,0.09703504043126684,0.0,18,0,335,1661,0,31
8,1,1.2214146937067445,0.7448572294937598,6.1971365761112525,1.8198055915275084,5.037528355883729,19.0,3.2565434476179678,6.604923480447337,7.065768947166337,56.18226336726881,11.152581382430107,0.0,17.868643261399036,7.233249885928503,14.468171445373462,0.0,0.09444443881511688,0.03191931350156665,0.18888887763023376,0.0,0.0638386270031333,0.0,0.09392265193370165,0.0,0.9444444444444444,0.0,0.1708542713567839,0.0,17,0,164,904,1,31
9,1,1.3623786671338856,0.7431547355812949,6.254849865629867,1.3343387839701557,4.5670584743738285,19.0,2.96196425108692,5.353055843360525,8.863356397581184,55.98457064339397,10.508071459867988,0.0,14.966808613997404,5.73288385983225,10.27375995924935,0.0,0.5,0.2546566389501095,1.0,0.0,0.509313277900219,0.0,0.2727272727272727,0.0,1.0,0.0,0.42857142857142855,0.0,18,0,48,892,0,31
10,1,1.4154034039458714,0.7304356086093027,6.185968737344484,1.3658780093210119,5.0191008544050835,19.0,2.8243692533338516,5.589308153127631,5.770133757381935,59.518130212308435,11.65176781707472,0.0,17.325118001419295,5.977292051668958,14.851392177477612,0.0,0.5,0.18834456843324004,1.0,0.0,0.3766891368664801,0.0,0.18556701030927836,0.0,1.0,0.0,0.3130434782608696,0.0,18,0,79,615,0,31
