epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_nir_stem,grad_norm_backbone_rgb_stem,grad_norm_backbone_stage3,grad_norm_fusion,grad_norm_neck,grad_norm_head_level0,steps_taken,grad_norm_head_level1,grad_norm_head_level2,grad_norm_backbone_stage1,nan_skipped,oom_skipped,grad_norm_backbone_stage0,grad_norm_backbone_stage2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,3.2559599948895945,0.9368911780215599,8.654663833411965,6.695176914294285,8.334790932935489,6.225269648842667,1.4187916325490781,5.555698332858791,35.76230479695402,19.0,0.5919666524069328,2.281394451783679,14.276149303341716,0.0,0.0,16.398651571976853,20.310289506467676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5400,0,18,27
2,1,1.0968394347944774,0.9050713527846981,7.336454784547961,4.745614726124768,3.6676273220986864,1.917433519966098,0.444569697313998,1.843336351375581,20.665174104250106,19.0,0.7615658892740339,1.0377516528535018,8.253899346915869,0.0,0.0,10.387749122791066,9.277981773595608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
3,1,1.14950434138646,0.8258433784987476,6.76857752413363,2.9560201959316617,3.6980369132393704,4.48665118367496,0.8129055531366483,1.661194714904599,18.57666050477039,19.0,2.6872101644495685,7.622946030797773,6.747844907295276,0.0,0.0,9.364701063280114,9.787081858356146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,199,951,18,27
4,1,1.4493142479174845,0.8010552066403467,6.732571221686698,4.514880239297703,3.2851700608734675,8.083979307575365,0.9457279900765011,1.6245068507013445,19.606647039852792,19.0,1.1212737930314414,9.242625242633462,8.888224697971394,0.0,0.0,10.702906036563995,10.589641908534785,0.021113652735948563,0.0026570156682282687,0.0,0.042227305471897125,0.0,0.005314031336456537,0.0,0.05343511450381679,0.0,0.25925925925925924,0.0,0.08860759493670886,0,7,763,124,18,20
5,1,1.0823258781755292,0.7190599248215959,5.934112407065727,3.9298900797506295,1.9480235024006651,4.800343619187601,0.8117443745765472,1.4570148401386402,18.246389039902194,19.0,1.0518074909563118,21.63291397179911,6.221778457666204,0.0,0.0,8.22178002685274,7.619504047937518,0.028897201642394066,0.010697846626862883,0.0,0.05779440328478813,0.0,0.021395693253725766,0.0,0.0036851803106080546,0.0,0.5185185185185185,0.0,0.007318348144276007,0,14,1571,3785,18,13
6,1,1.1171383640250645,0.6983024647106996,5.79583766653731,4.525700097713051,1.739238015252327,2.779047815388977,0.6612087617159006,1.5819170123393866,22.19207347578186,19.0,0.503106545012715,18.585203754937613,6.491496475248762,0.0,0.0,8.239440346362137,7.542766081149582,0.01486202422529459,0.0016117517021484672,0.0,0.02972404845058918,0.0,0.0032235034042969344,0.0,0.008223684210526315,0.0,0.18518518518518517,0.0,0.015748031496062992,0,5,447,603,18,22
7,1,1.074362127362071,0.6675564340642981,5.543854333258964,2.2601897150972876,1.19779434481725,2.0495680676181807,0.4999261720322236,1.3192770276507164,19.186099720514722,19.0,0.7610321903722526,18.60621665132639,4.511299351924938,0.0,0.0,5.999053030632408,6.325155496530353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,243,803,18,27
8,1,1.1305519535734847,0.6500173968237799,5.440406451354155,3.1747706630789874,1.2716019871344926,2.433224858268564,0.4740677518948074,1.2495569764491972,16.865890263157933,19.0,3.550848542070838,16.708275191741283,4.37549500436031,0.0,0.0,5.365454614172107,7.51943119675114,0.011796712875366211,0.005573664931580425,0.0,0.023593425750732422,0.0,0.01114732986316085,0.0,0.09433962264150944,0.0,0.18518518518518517,0.0,0.125,0,5,0,48,18,22
9,1,1.1257092026439872,0.6117682408642124,5.151116403373512,2.431781638416325,1.0184401410178041,2.372309166697177,0.4754360841419983,1.2616329467009264,18.36172405270273,19.0,4.357604051144157,16.58537362665617,4.243134528811824,0.0,0.0,5.0320291648732995,5.254538507441568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,27
10,1,1.0634993798023946,0.6508345394521147,5.413008728542843,3.0033974727467427,0.7644512145330752,2.2626236474973487,0.34482739557401193,1.2429150021274231,19.439901706974496,19.0,2.5731265904097556,21.62604239067369,4.6798896526110605,0.0,0.0,5.514262661015414,5.423939029014042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,187,1,18,27
11,1,1.0662529315497424,0.6537711314252905,5.436409976031329,2.4334107401920027,1.0324120973251378,1.9533866945329215,0.3583871076973019,1.049999594565428,21.08173369642589,19.0,2.7897442711826166,13.176426826530012,4.346545864436645,0.0,0.0,5.350809574303306,5.737599385644503,0.027030430734157562,0.004714240413159132,0.0,0.054060861468315125,0.0,0.009428480826318263,0.0,0.014925373134328358,0.0,0.25925925925925924,0.0,0.028225806451612902,0,7,1931,462,18,20
12,1,0.9831129534019006,0.6325702812220599,5.235833583651362,2.064542834854933,0.905947724341296,2.063575628705828,0.36312045739385523,1.0711783887530142,19.050251019801287,19.0,2.444433023026279,19.4490747483546,3.841966121136475,0.0,0.0,4.534645101239269,4.864784839967227,0.002700023353099823,0.0006281880952883512,0.0,0.005400046706199646,0.0,0.0012563761905767024,0.0,0.004975124378109453,0.0,0.14814814814814814,0.0,0.009626955475330925,0,4,139,800,18,23
13,1,0.9801997381287653,0.6419537840662776,5.30475326486536,2.1737846122603104,0.8685436628509831,2.2374753993756076,0.4822226189392414,0.897001343297617,19.82149749861534,19.0,1.6365849198574423,18.658163938225503,3.5250122820082312,0.0,0.0,4.9955893220485414,5.107210912851448,0.0017846644623205066,0.00048710841219872235,0.0,0.003569328924641013,0.0,0.0009742168243974447,0.0,0.004329004329004329,0.0,0.07407407407407407,0.0,0.008179959100204498,0,2,2425,460,18,25
14,1,0.9869377137841405,0.641171908861882,5.302258143553862,1.352016273704189,0.6947866165054534,1.3761442003354143,0.28334506028409157,0.9680119479899144,17.582685795137486,19.0,0.9529025950407983,18.90524483342796,2.6928141954355955,0.0,0.0,3.4632917523595297,3.6443192059997713,0.010792164131999016,0.0013024090003455058,0.0,0.02158432826399803,0.0,0.0026048180006910115,0.0,0.009541984732824428,0.0,0.37037037037037035,0.0,0.018604651162790697,0,10,18,1038,18,17
15,1,0.8822673059798576,0.6501675469649805,5.3173902904665145,2.0208453455666238,0.9274050028826832,1.5844151317358044,0.3070059834196567,1.209972611230244,23.878274267180885,19.0,0.7055444108273236,14.297821555187818,3.6784500731341954,0.0,0.0,4.713590175588382,4.5918011644445125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3744,505,18,27
