epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage0,grad_norm_fusion,grad_norm_head_level0,oom_skipped,grad_norm_backbone_stage3,steps_taken,grad_norm_head_level1,grad_norm_backbone_rgb_stem,grad_norm_backbone_nir_stem,grad_norm_neck,grad_norm_head_level2,grad_norm_backbone_stage2,grad_norm_backbone_stage1,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
1,1,5.7330015414469955,0.9648923495331326,10.103193308856037,22.387080196821422,2.006273677804253,43.848744280268306,0.0,8.089186524697856,19.0,0.9631834164243627,8.867504162302279,7.894095379871546,7.712989950542932,2.384486261389885,22.923045052172235,15.725980209627636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4685,715,18,27
2,1,1.1116538450524613,0.872081458568573,7.096437821517119,8.860806208232994,0.5246164367669899,20.423265782372038,0.0,2.4677182651116163,19.0,4.672485523911453,4.256246271692084,2.29130337282175,1.7175414214128635,2.2185396681298344,13.085087860353706,8.71256257020999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,261,18,27
3,1,1.2834628707653768,0.7961665939640354,6.612980894140295,8.55796535153578,1.349163049690736,19.940593375596965,0.0,7.532592394655265,19.0,2.9585949197715515,3.306941446818139,3.250840526052984,1.6452577815580742,14.75855931164974,12.425257196370051,8.880222041365121,0.0,7.014590664766729e-05,2.1043771994300187e-05,0.0,0.00014029181329533458,0.0,4.208754398860037e-05,0.0,0.003067484662576687,0.0,0.037037037037037035,0.0,0.005665722379603399,0,1,1614,325,18,26
4,1,1.196733370423317,0.6840852966179719,5.729006354873245,8.621285413685502,1.2479698937818695,20.538760039200252,0.0,7.073824524722299,19.0,3.9594659977916575,2.729152292258793,3.49013562834324,1.4794123894418714,14.005759652717535,12.759251728708175,8.985730726197938,0.0,0.016861598938703537,0.002889863646123558,0.0,0.033723197877407074,0.0,0.005779727292247116,0.0,0.08,0.0,0.14814814814814814,0.0,0.10389610389610389,0,4,734,46,18,23
5,1,1.2012203013574756,0.6459825522190815,5.445479283461699,5.687627343298703,1.0652638690945773,21.701084180195448,0.0,3.466330239863531,19.0,2.5645473473503415,2.1501113819319095,1.9896892015453764,1.6702359988072404,17.950596624710755,9.62509700981658,6.035480062210252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,836,0,18,27
6,1,1.198870281915407,0.6355073532542667,5.3657402992248535,5.299675704691116,0.5997787567878834,21.273048369578618,0.0,1.5592095785214768,19.0,1.753935205402715,1.848450346455834,1.9519668159537389,1.3186540893947412,15.908228803868004,8.108003111195643,5.971031107777088,0.0,0.0055555556900799274,0.0008720539044588804,0.0,0.011111111380159855,0.0,0.0017441078089177608,0.0,0.04054054054054054,0.0,0.1111111111111111,0.0,0.05940594059405941,0,3,524,71,18,24
7,1,1.1285811324377317,0.6476509498583304,5.421672659951287,4.861402331816398,0.5750956944166401,17.810621083098685,0.0,1.6986563590546575,19.0,4.019597121830161,1.449192515131229,1.8743135307778456,1.2083613455825652,19.1012273166587,7.320329069329264,5.227207413582407,0.0,0.0002136752154910937,2.1367521549109368e-05,0.0004273504309821874,0.0,4.2735043098218736e-05,0.0,0.0034482758620689655,0.0,0.05555555555555555,0.0,0.006493506493506493,0.0,1,0,289,68,17,27
8,1,1.1451273222227354,0.6332570813797616,5.321991778708793,4.715115768351282,0.5176541096813918,21.173472216179913,0.0,2.0217273890016587,19.0,0.7497567823016459,1.541253150467488,1.6646564760992644,1.146774291255895,17.77679979449484,6.925234591071295,4.266130856153699,0.0,0.00027639578911475837,2.7639578911475836e-05,0.0,0.0005527915782295167,0.0,5.527915782295167e-05,0.0,0.013513513513513514,0.0,0.037037037037037035,0.0,0.019801980198019802,0,1,485,73,18,26
9,1,0.9702508179722605,0.6305762138721105,5.214447021484375,4.452476418008375,0.5080175857627927,24.603588806632608,0.0,1.8128189250945004,19.0,1.5775671463375014,1.4457725398010215,1.5422509525600776,1.2541896025425643,16.78849556408648,6.254411799900028,3.9865165312003037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,263,253,18,27
10,1,0.9771753396536853,0.6451459953913817,5.327182640900483,5.49297065682948,0.5004018338537347,22.512917438987177,0.0,1.8994768976398184,19.0,4.3696898670258015,1.590317116257648,1.906861320512343,1.2374056289179767,18.553930453614786,7.236444477642349,5.274739406306024,0.0,0.19457672536373138,0.023831669182982296,0.38915345072746277,0.0,0.04766333836596459,0.0,0.10810810810810811,0.0,0.6666666666666666,0.0,0.18604651162790697,0.0,12,0,99,0,6,27
